Art,Material,Name,Stueckelung,Jahrgaenge
3,silber,Wiener Philharmoniker,1 oz,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008"
4,silber,Koala,10 oz,"2018, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008"
4,silber,Koala,5 oz,"2021, 2012"
4,silber,Koala,3 oz,2022
4,silber,Koala,1 oz,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007"
4,silber,Koala,1/2 oz,"2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008"
4,silber,Koala,1/10 oz,"2015, 2014, 2013, 2012, 2011"
5,silber,Maple Leaf,10 kg,
5,silber,Maple Leaf,10 oz,"2025, 2023, 2021, 2020, 2019, 2018, 2017, 1998"
5,silber,Maple Leaf,5 oz,"2025, 2024, 2023"
5,silber,Maple Leaf,2 oz,2018
5,silber,Maple Leaf,"1,5 oz","2017, 2016, 2015"
5,silber,Maple Leaf,1 oz,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 2000, 1999, 1998, 1997, 1996, 1995, 1994, 1993, 1992, 1991, 1990, 1989, 1988"
5,silber,Maple Leaf,1/2 oz,2025
5,silber,Maple Leaf,1/4 oz,2014
6,gold,American Eagle,1 oz,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 2000, 1999, 1998, 1997, 1996, 1995, 1994, 1993, 1992, 1991, 1990, 1989, 1988, 1987, 1986"
6,gold,American Eagle,1/2 oz,"2025, 2024, 2023, 2022, 2021"
6,gold,American Eagle,1/4 oz,"2025, 2024, 2023, 2022, 2021, 1988"
6,gold,American Eagle,1/10 oz,"2025, 2024, 2023, 2021, 2001"
7,silber,China Panda,12 oz,"1997, 1996, 1995, 1994, 1993, 1992, 1991, 1990, 1989, 1988"
7,silber,China Panda,5 oz,"2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 1996, 1995, 1994, 1993, 1992, 1991, 1990, 1989, 1988, 1987"
7,silber,China Panda,150 g,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2017, 2016"
7,silber,China Panda,2 oz,1991
7,silber,China Panda,1 oz,"2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 2000, 1999, 1998, 1997, 1996, 1995, 1994, 1993, 1992, 1991, 1990, 1989, 1987, 1986"
7,silber,China Panda,30 g,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016"
7,silber,China Panda,27 g,"1985, 1984, 1983"
7,silber,China Panda,1/2 oz,"1998, 1997, 1996, 1995, 1994, 1993"
7,silber,China Panda,15 g,1997
12,silber,Kookaburra,10 oz,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 2000, 1999, 1998, 1997, 1996, 1995, 1994, 1993, 1992, 1991"
12,silber,Kookaburra,5 oz,"2025, 2024, 2023, 2022, 2021"
12,silber,Kookaburra,2 oz,"2025, 2022, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 2000, 1999, 1998, 1997, 1996, 1995, 1994, 1993, 1992, 1991"
12,silber,Kookaburra,1 oz,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 2000, 1999, 1998, 1997, 1996, 1995, 1994, 1993, 1992, 1991, 1990"
14,gold,Wiener Philharmoniker,20 oz,2009
14,gold,Wiener Philharmoniker,1 oz,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 2000, 1999, 1998, 1997, 1996, 1995, 1994, 1993, 1992, 1991, 1990, 1989"
14,gold,Wiener Philharmoniker,1/2 oz,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018"
14,gold,Wiener Philharmoniker,1/4 oz,"2025, 2024, 2023, 2022, 2021, 2020, 2019"
14,gold,Wiener Philharmoniker,1/10 oz,"2025, 2024, 2023, 2022, 2021, 2020, 2019"
14,gold,Wiener Philharmoniker,1/25 oz,2025
15,silber,American Eagle,1 oz,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 2000, 1999, 1998, 1997, 1996, 1995, 1994, 1993, 1992, 1991, 1990, 1989, 1988, 1987, 1986"
16,silber,Britannia,10 oz,"2025, 2024, 2021"
16,silber,Britannia,1 oz,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 2000, 1999, 1998, 1997"
16,silber,Britannia,1/2 oz,2011
16,silber,Britannia,1/4 oz,"2025, 2024, 2021"
16,silber,Britannia,1/10 oz,"2025, 2024, 2020"
17,silber,Libertad,5 oz,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 2000, 1999, 1998, 1997, 1996"
17,silber,Libertad,2 oz,"2024, 2023, 2022, 2021, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 2000, 1999, 1998, 1997, 1996"
17,silber,Libertad,1 oz,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 2000, 1999, 1998, 1997, 1996, 1995, 1994, 1993, 1992, 1991, 1990, 1989, 1988, 1987, 1986, 1985, 1984, 1983, 1982"
